epoch,train_accuracy,validation_accuracy
0,0.2584337294101715,0.3103448152542114
1,0.433132529258728,0.23706896603107452
2,0.44759035110473633,0.27586206793785095
3,0.46445783972740173,0.25431033968925476
4,0.4536144435405731,0.18534483015537262
5,0.4650602340698242,0.19396552443504333
6,0.48373493552207947,0.24137930572032928
7,0.4650602340698242,0.1982758641242981
8,0.4451807141304016,0.25
9,0.4777108430862427,0.1982758641242981
